Codigo,Fabricante,Descricao dos Produtos,UN,EAN/GTIN,Quantidade,Valor,Contar Nome,Contar Barcode,EAN SEARCH,TÍTULO
7140,RAMADA,NIPLE ROSCAVEL 3/4,UN-UN,7897613321065,159,"3,90",3,1,https://www.ean-search.org/?q=7897613321065,
21934,BELMAR METAIS,NIPLE ROSCAVEL 3/4,UN-UN,,40,"7,90",3,,,
19981,EXTRA,NIVEL A LASER,UN-UN,,,"85,00",1,,,
18306,BESTFER,"NIVEL ALUM VERM 1,0 MT IMANTADO",UN-UN,7899206165667,5,"73,00",1,1,https://www.ean-search.org/?q=7899206165667,
18303,RIO CHENS,NIVEL ALUM VERM 40CM IMANTADO,UN-UN,7899206165636,9,"36,90",1,1,https://www.ean-search.org/?q=7899206165636,
18304,RIO CHENS,NIVEL ALUM VERM 50CM IMANTADO,UN-UN,7899206165643,12,"44,00",1,1,https://www.ean-search.org/?q=7899206165643,
18305,RIO CHENS,NIVEL ALUM VERM 80CM IMANTADO,UN-UN,7899206165650,7,"65,00",1,1,https://www.ean-search.org/?q=7899206165650,
5159,FAMASTIL PRAT-K S.A,NIVEL ALUMIN MAGNETICO 24,UN-UN,7896367700621,,"39,90",1,1,https://www.ean-search.org/?q=7896367700621,
2788,PISA,NIVEL ALUMINIO 12 30CM,UN-UN,7893590286335,1,"33,50",1,1,https://www.ean-search.org/?q=7893590286335,
3469,PISA,NIVEL ALUMINIO 16 C/IMA HF 40CM,UN-UN,7893590286342,,"37,90",1,1,https://www.ean-search.org/?q=7893590286342,
3471,PISA,"NIVEL ALUMINIO 20"" C/IMA HF 50CM",UN-UN,7893590286359,1,"42,90",1,1,https://www.ean-search.org/?q=7893590286359,
3472,PISA,NIVEL ALUMINIO 24 C/IMA HF 60CM,UN-UN,7893590286366,1,"47,90",1,1,https://www.ean-search.org/?q=7893590286366,
15988,JOMARCA,NIVEL ALUMINIO 30CM,UN-UN,SEM GTIN,,"8,50",1,,,
3467,PISA,"NIVEL ALUMINIO 32""C/IMA HF 80CM",UN-UN,7893590286373,3,"57,90",1,1,https://www.ean-search.org/?q=7893590286373,
15989,JOMARCA,NIVEL ALUMINIO 35CM,UN-UN,SEM GTIN,,"8,90",1,,,
15990,JOMARCA,NIVEL ALUMINIO 40CM,UN-UN,SEM GTIN,,"10,90",1,,,
5158,FAMASTIL PRAT-K S.A,NIVEL ALUMINIO MAGNETICO 20,UN-UN,7896367700614,,"34,90",1,1,https://www.ean-search.org/?q=7896367700614,
18302,RIO CHENS,NIVEL DE ALUMI VERM 30CM IMANTADO,UN-UN,7899206165629,9,"32,50",1,1,https://www.ean-search.org/?q=7899206165629,
5160,FAMASTIL PRAT-K S.A,NIVEL DE ALUMINIO MAGNETICO 30,UN-UN,7896367700638,,"44,50",1,1,https://www.ean-search.org/?q=7896367700638,
5161,FAMASTIL PRAT-K S.A,NIVEL DE ALUMINIO MAGNETICO 36,UN-UN,7896367700645,,"53,90",1,1,https://www.ean-search.org/?q=7896367700645,
5162,FAMASTIL PRAT-K S.A,NIVEL DE ALUMINIO MAGNETICO 48,UN-UN,7896367703554,,"73,90",1,1,https://www.ean-search.org/?q=7896367703554,
10460,RACUIA/TERUYA,NIVEL DE MADEIRA AGUIA 10 25CM,UN-UN,SEM GTIN,10,"41,50",1,,,
10461,RACUIA/TERUYA,NIVEL DE MADEIRA AGUIA 12 30CM,UN-UN,SEM GTIN,10,"42,50",1,,,
10462,RACUIA/TERUYA,NIVEL DE MADEIRA AGUIA 14 35CM,UN-UN,SEM GTIN,10,"43,00",1,,,
14955,RACUIA/TERUYA,NIVEL DE MADEIRA AGUIA 16 40CM,UN-UN,SEM GTIN,10,"44,50",1,,,
8569,STARRET,NIVEL ECONOMICO ALUMINIO 30CM,UN-UN,7891265309037,3,"43,90",1,1,https://www.ean-search.org/?q=7891265309037,
8570,STARRET,NIVEL ECONOMICO ALUMINIO 35CM,UN-UN,7891265309044,7,"55,00",1,1,https://www.ean-search.org/?q=7891265309044,
8571,STARRET,NIVEL ECONOMICO ALUMINIO 40CM,UN-UN,7891265309051,1,"59,00",1,1,https://www.ean-search.org/?q=7891265309051,
18121,"WESTER ""ETILUX""",NIVEL LASER 2 BOLHAS,UN-UN,7897186012957,,"33,50",1,1,https://www.ean-search.org/?q=7897186012957,
4304,MARFIM IND,NIVEL MADEIRA 10,UN-UN,7897937400231,,"16,50",2,1,https://www.ean-search.org/?q=7897937400231,
21258,SIMETAL,NIVEL MADEIRA 10,UN-UN,7896438027251,8,"41,60",2,1,https://www.ean-search.org/?q=7896438027251,
4584,SIMETAL,NIVEL MADEIRA 12,UN-UN,7896438027268,,"42,60",1,1,https://www.ean-search.org/?q=7896438027268,
18051,PISA,NIVEL MADEIRA 12 30CM UYUSTOOLS,UN-UN,7898011971395,,"9,50",1,1,https://www.ean-search.org/?q=7898011971395,
4305,MARFIM IND,"NIVEL MADEIRA 12""",UN-UN,7897937400248,,"18,90",1,1,https://www.ean-search.org/?q=7897937400248,
13049,SIMETAL,NIVEL MADEIRA 14,UN-UN,7896438027275,24,"43,00",1,1,https://www.ean-search.org/?q=7896438027275,
4306,MARFIM IND,"NIVEL MADEIRA 14""",UN-UN,7897937400255,1,"19,90",1,1,https://www.ean-search.org/?q=7897937400255,
15160,SIMETAL,NIVEL MADEIRA 16,UN-UN,7896438027282,,"44,50",1,1,https://www.ean-search.org/?q=7896438027282,
6682,MARFIM IND,"NIVEL MADEIRA 16""",UN-UN,7897937400262,6,"21,00",1,1,https://www.ean-search.org/?q=7897937400262,
18052,PISA,NIVEL MADEIRA N14 35CM UYUSTOOLS,UN-UN,7898011971401,,"10,90",1,1,https://www.ean-search.org/?q=7898011971401,
3146,FERTAK TOOLS,NIVEL REFORCADO 12,UN-UN,7899095408364,,"23,90",1,1,https://www.ean-search.org/?q=7899095408364,
6818,STARRET,NIVEL TORPEDO MAGNETICO 230MM,UN-UN,7891265309006,1,"44,90",1,1,https://www.ean-search.org/?q=7891265309006,
17556,STARRET,NIVEL TRAPEZOIDAL ALUMIN 12 C/3 BOLHAS,UN-UN,SEM GTIN,6,"49,00",1,,,
17557,STARRET,NIVEL TRAPEZOIDAL ALUMIN 14 C/3 BOLHAS,UN-UN,0049659013818,8,"53,50",1,1,https://www.ean-search.org/?q=0049659013818,
16378,ENTRONIX ELETRONICA,NO BREAK UPS 700VA 110/110V,UN-UN,SEM GTIN,4,"389,00",1,,,
20489,INTELBRAS,NOBREAK XNB 720VA BI VOLT,UN-UN,7896637680158,1,"520,00",1,1,https://www.ean-search.org/?q=7896637680158,
4772,FAME,NOVA DUCHA JD 4800W 127V (2191),UN-UN,SEM GTIN,,"79,00",1,,,
18551,FAME,NOVA DUCHA KI BANHO 4T 127V,UN-UN,7896039733599,,"49,90",1,1,https://www.ean-search.org/?q=7896039733599,
13899,ARCOM,NUGGET LIQUIDO INCOLOR 60ML,UN-UN,7891035570209,11,"15,50",1,1,https://www.ean-search.org/?q=7891035570209,
13900,ARCOM,NUGGET LIQUIDO MARROM 60ML,UN-UN,7891035570100,11,"15,50",1,1,https://www.ean-search.org/?q=7891035570100,
13901,ARCOM,NUGGET LIQUIDO PRETO 60ML,UN-UN,7891035570001,26,"15,50",1,1,https://www.ean-search.org/?q=7891035570001,
13902,ARCOM,NUGGET LIQUIDO SUPER BRANCO 60ML,UN-UN,7891035570308,12,"15,50",1,1,https://www.ean-search.org/?q=7891035570308,
4743,ARCOM,NUGGET PASTA MARROM 36G,UN-UN,7791130002950,24,"8,50",1,1,https://www.ean-search.org/?q=7791130002950,
